City,Number_crimes
CornwallonHudsonVillage,1
Corona,291
Coronado,9
CorpusChristi,2616
Corrales,12
Corrigan,12
Corsicana,176
Cortez,43
Cortland,60
Corunna,10
CostaMesa,312
Cotati,40
CottageCity,2
CottageGrove,32
Cotter,3
Cottleville,5
Cottonwood,45
CottonwoodHeights,54
CouncilBluffs,493
CountryClubHills,58
Countryside,9
Coventry,43
CovertTownship,12
Covina,171
Covington,356
CovingtonTownship,7
Cowan,1
Coward,4
Cowden,0
Coweta,23
Cowpens,4
CoxsackieVillage,0
Cozad,6
CrabOrchard,0
Crafton,12
Craig,21
CranburyTownship,3
Crandall,16
Crandon,3
Crane,6
CranfordTownship,4
Cranston,127
CrawfordTown,1
Crawfordsville,65
Creedmoor,10
Crescent,2
CrescentCity,33
Cresskill,2
CressonTownship,1
CrestHill,55
CrestedButte,2
Creston,26
Crestview,96
Crete,65
CreveCoeur,14
Crewe,9
CrippleCreek,8
Crisfield,3
Crockett,34
Cromwell,5
Crookston,23
Crosby,0
CrossCity,2
CrossPlains,4
Crossett,30
Crosslake,0
Crossville,42
Croswell,14
CrotononHudsonVillage,3
Crowley,196
CrownPoint,7
Crystal,60
CrystalCity,14
CrystalFalls,3
CrystalLake,45
Cuba,11
CubaCity,0
CubaTown,1
Cudahy,118
Cuero,49
Cullen,2
Culpeper,32
CulverCity,182
Cumberland,187
CumberlandCity,2
CumberlandTownshipGreeneCounty,9
Cumby,0
CumruTownship,16
Cupertino,55
Cushing,10
CutBank,36
CutlerBay,94
CuyahogaFalls,50
Cynthiana,6
Cypress,52
Cyril,1
DIberville,10
Dacono,5
DadeCity,36
Dagsboro,2
Daingerfield,14
Dalhart,35
Dallas,11832
DallasCity,2
DallasTownship,1
Dalton,6
DalworthingtonGardens,2
DalyCity,232
Damariscotta,1
Damascus,0
Dana,0
DanaPoint,52
Danbury,97
Dandridge,12
DaniaBeach,221
DansvilleVillage,1
Danube,3
Danvers,40
Danville,715
DarbyTownship,68
Dardanelle,28
Darien,14
Darlington,91
Darrington,4
Dartmouth,77
Davenport,614
Davidson,8
Davie,276
Davis,113
Davison,10
DavisonTownship,26
Dawson,0
DawsonBoyd,0
DawsonSprings,2
Dayton,1392
DaytonaBeach,794
DaytonaBeachShores,9
DeFuniakSprings,29
DeKalb,250
DeLand,198
DeLeon,2
DePere,20
DeQueen,33
DeSoto,187
DeWitt,40
DeWittTown,36
DeWittTownship,23
Deadwood,3
Deal,0
Dearborn,305
DearbornHeights,227
Decatur,419
Decaturville,0
Decherd,19
Decorah,9
Dedham,7
Deephaven,1
DeerCreek,1
DeerLodge,7
DeerPark,50
DeerRiver,3
Deerfield,13
DeerfieldBeach,351
Deering,2
DeerparkTown,11
Defiance,22
Deforest,10
DelCity,188
DelMar,7
DelReyOaks,7
DelRio,38
Delafield,4
DelancoTownship,2
Delano,205
Delavan,19
DelavanTown,8
Delaware,60
DelawareCity,11
